Norrsundet 06;NO6
Långrör, kaj - Sandarne;LGK
Gävle E, ankring;GÄE
Östra kajen 10  - Gävle;S10
Massakajen - Skutskär;SM3
Iggesund nya, kaj;IGN
Sandarne, massakaj;SAM
Gävle A, ankring;GÄA
Skutskär, hamn;SKR
Ala, kaj 1;AL1
Skutskär / T1;ST1
Norrsundet 03;NO3
Östra kajen 9 - Gävle;SK9
Södra kajen 8 - Gävle;SK8
Orrskär, hamn;ORR
Södra kajen 7 - Gävle;SK7
Containerkajen 19 - Gävle;S19
Iggesund D, ankring;IGD
Stocka, kaj;STA
Sydvästra kajen 6 - Gävle;SK6
Iggesund C, ankring;IGC
Granudden 303 - Gävle;GR3
Fredrikskans, hamn - Gävle;FSK
Storjungfrun A, ankring;STO
Sydvästra kajen 5 - Gävle;SK5
Sydvästra kajen 4 - Gävle;SK4
Gävle D, ankring;GÄD
Olljekajen 201 - Karskär;K20
Storjungfrun B, ankring;SJF
Containerkajen 18 - Gävle;S18
Iggesund, hamn;IGH
Bulkkajen 105 - Karskär;KA5
Norrsundet 05;NO5
Karskär 107;KA7
Iggesund E, ankring;IGE
Containerkajen 17 - Gävle;S17
Granudden, hamn - Gävle;GDN
Karskär, hamn;KAR
Gävle G V Vitgrund, ankr.;GÄG
Blomman (m Hällgr&Storjungfr);BLO
Östra kajen - Stugsund;STÖ
Myran (1,5 M syd Hornsudde (överenskommelse));MYA
Gråsjälsbådan (syd om);GSK
Långrör, hamn - Sandarne;LGR
Norrsundet 02;NO2
Gävle C, ankring;GÄC
Östra kajen 14 - Gävle;S14
Iggesund gamla, kaj;IGG
Granudden 302 - Gävle;GR2
Sandarne tallolja, kaj;SAT
Sandarne, hamn;SAN
Norrsundet, hamn;NOR
Purrut, bordning;SPU
Vallvik, östra, kaj;VAÖ
Sligkajen 16 - Gävle;S16
Orrskär, fliskaj;OFL
Gävle N, ankring;GÄN
Västra kajen - Stugsund;STV
Östra kajen 13 - Gävle;S13
Skärnäs Läge 3 - Iggesund;SKA
Gävle yttre redd;GYR
Orrskär träkaj;OTR
Kemikaliekajen 1 - Gävle;SK1
Gävle F, ankring;GÄF
Skutskär / T2;ST2
Norrsundet 04;NO4
Skärnäs LoLo-kaj - I:sund;SLL
Hudiksvallskajen;HUD
Stocka, hamn;STH
Östra kajen 12 - Gävle;S12
Stugsund, hamn;STU
Skärnäs RoRo-kaj - I:sund;SRR
Gävle B, ankring;GÄB
Karskär 106;KA6
Hällgrund (sjön S), bordn.;HGD
Karskär 108;KA8
Ala, hamn;ALA
Granudden 301 - Gävle;GR1
Östra kajen 11 - Gävle;S11
Vallvik, hamn;VAL
Cementa Stugsund, kaj;STC
Norrsundet 01;NO1
Massakaj - Skutskär;MAS
Hudiksvall, hamn;HUH
Energikajen 27 - Gävle;S27
Bulk-/Containerkajen 24 - Gävle;S24
Bulk-/Containerkajen 25 - Gävle;S25
